,pop_perc,distance,day,service,pop_perc_cum
4,21.92956919478751,3,4,supermarket,67.46238904212328
5,9.227945348774098,4,4,supermarket,76.69033439089738
6,7.555744151736593,5,4,supermarket,84.24607854263397
7,3.1983500027138114,6,4,supermarket,87.44442854534778
8,1.2291098205430582,7,4,supermarket,88.67353836589083
9,1.8680890327483015,8,4,supermarket,90.54162739863914
10,1.6312473170274389,9,4,supermarket,92.17287471566658
11,1.2616755564546769,10,4,supermarket,93.43455027212126
12,2.046707160021118,11,4,supermarket,95.48125743214237
13,1.4472015671026857,12,4,supermarket,96.92845899924505
14,1.0559193159221778,13,4,supermarket,97.98437831516723
15,0.730261956805992,14,4,supermarket,98.71464027197322
16,0.70312384354631,15,4,supermarket,99.41776411551953
17,0.32615077935727077,16,4,supermarket,99.74391489487681
18,0.12138137930694194,17,4,supermarket,99.86529627418375
19,0.13470372581624043,18,4,supermarket,99.99999999999999
20,0.0,19,4,supermarket,99.99999999999999
0,0.0,0,5,supermarket,0.0
1,5.023511474487707,0,5,supermarket,5.023511474487707
2,18.94783067791007,1,5,supermarket,23.971342152397774
3,21.561477694938002,2,5,supermarket,45.53281984733577
4,21.92956919478751,3,5,supermarket,67.46238904212328
5,9.227945348774098,4,5,supermarket,76.69033439089738
6,7.555744151736593,5,5,supermarket,84.24607854263397
7,3.1983500027138114,6,5,supermarket,87.44442854534778
8,1.2325637622306542,7,5,supermarket,88.67699230757843
9,1.9327270843304534,8,5,supermarket,90.60971939190888
10,1.5631553237576912,9,5,supermarket,92.17287471566658
11,1.2616755564546769,10,5,supermarket,93.43455027212126
12,2.046707160021118,11,5,supermarket,95.48125743214237
13,1.4472015671026857,12,5,supermarket,96.92845899924505
14,1.0559193159221778,13,5,supermarket,97.98437831516723
15,0.730261956805992,14,5,supermarket,98.71464027197322
16,0.70312384354631,15,5,supermarket,99.41776411551953
17,0.32615077935727077,16,5,supermarket,99.74391489487681
18,0.12138137930694194,17,5,supermarket,99.86529627418375
19,0.13470372581624043,18,5,supermarket,99.99999999999999
20,0.0,19,5,supermarket,99.99999999999999
0,0.0,0,6,supermarket,0.0
1,5.395056916024809,0,6,supermarket,5.395056916024809
2,22.710160016184183,1,6,supermarket,28.105216932208993
3,21.828418045365055,2,6,supermarket,49.933634977574044
4,19.477270596594416,3,6,supermarket,69.41090557416845
5,8.497683391968106,4,6,supermarket,77.90858896613656
6,6.611831230540739,5,6,supermarket,84.5204201966773
7,3.0809159853355506,6,6,supermarket,87.60133618201286
8,1.124998149674096,7,6,supermarket,88.72633433168696
9,1.9287797224017724,8,6,supermarket,90.65511405408873
10,1.859207468408769,9,6,supermarket,92.5143215224975
11,0.9202287496237671,10,6,supermarket,93.43455027212126
12,2.141443846309463,11,6,supermarket,95.57599411843071
13,1.4215437145662588,12,6,supermarket,96.99753783299697
14,0.9873339024113448,13,6,supermarket,97.98487173540832
15,0.729768536564907,14,6,supermarket,98.71464027197322
16,0.70312384354631,15,6,supermarket,99.41776411551953
17,0.32615077935727077,16,6,supermarket,99.74391489487681
18,0.12138137930694194,17,6,supermarket,99.86529627418375
19,0.13470372581624043,18,6,supermarket,99.99999999999999
20,0.0,19,6,supermarket,99.99999999999999
0,0.0,0,7,supermarket,0.0
1,5.461175228330217,0,7,supermarket,5.461175228330217
2,23.490257417339773,1,7,supermarket,28.95143264566999
3,21.893549517188294,2,7,supermarket,50.84498216285829
4,20.867235415731226,3,7,supermarket,71.71221757858952
5,7.395382573383926,4,7,supermarket,79.10760015197344
6,5.5351882644929855,5,7,supermarket,84.64278841646643
7,2.9585477655464385,6,7,supermarket,87.60133618201287
8,1.124998149674096,7,7,supermarket,88.72633433168697
9,1.9287797224017724,8,7,supermarket,90.65511405408874
